number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
147,151_LAKE ART_NA_43_150618_35,ART,3.11,45.71,44.53,27.13,28.84,19.33,0.0345,0.3048,0.0266,0.92
148,152_LAKE ART_NA_44_150618_39,ART,2.91,44.93,37.59,26.99,27.62,18.96,0.0412,0.2555,0.0046,1.34
149,153_LAKE ART_NA_45_150618_43,ART,2.44,45.57,68.24,30.96,33.12,19.84,0.0433,0.2215,-0.0316,1.81
150,154_MBP_NA_31_150617_50,MBP,2.51,44.15,58.94,23,22.19,16.36,0.0585,0.3517,0.0356,NA
151,155_MBP_NA_32_150617_54,MBP,2.49,44.89,59.85,29.48,28.45,19.09,0.0541,0.4294,0.056,0.72
152,156_MBP_NA_33_150617_58,MBP,2.92,43.63,35.23,21.7,22.9,16.95,0.0488,0.379,0.0505,0.63
153,157_MBP_NA_34_150617_63,MBP,2.61,42.73,32.83,14.62,17.82,13.29,0.0489,0.3044,0.0362,0.74
154,158_MBP_NA_35_150617_67,MBP,2.54,43.59,57.85,21.99,20.73,16.94,0.084,0.274,0.0305,0.64
155,159_ML_1_150_150621_2,ML1,2.95,44.21,29.19,18.46,20.79,15.94,0.0338,0.2388,-0.003,1.35
156,160_ML_1_151_150621_6,ML1,3.12,44.17,23.43,24.31,26.64,18.64,0.0444,0.2828,0.0232,0.96
157,161_ML_1_152_150621_9,ML1,2.58,44.56,46.61,21.7,21.31,18.11,0.0433,0.2231,-0.0182,1.5
158,162_ML_1_153_150621_12,ML1,2.44,45.18,59.02,27,25.13,19.18,0.0483,0.242,0.0014,0.55
159,163_ML_1_154_150621_15,ML1,2.93,43.84,36.01,22.87,27.05,17.25,0.0394,0.2814,-0.0186,1.41
160,164_ML_2_155_150621_19,ML2,3.23,43.86,38.08,21.34,23.61,16.63,0.0377,0.3364,0.0098,0.95
161,165_ML_2_156_150621_25,ML2,2.78,42.9,39.44,15.7,18.62,14.06,0.0408,0.3162,0.012,1.42
162,166_ML_2_157_150621_28,ML2,3.01,42.97,31.62,18.24,21.9,15.25,0.0428,0.2491,-0.0469,1.88
163,167_ML_2_158_150621_31,ML2,3.71,42.19,8.66,14.96,20.47,13.42,0.0321,0.2948,-0.0222,2.83
164,168_ML_2_159_150621_34,ML2,3.05,43.63,24.67,18.03,21.12,14.46,0.0413,0.2804,-0.0083,2.26
165,169_ML_3_160_150621_39,ML3,3.08,45.54,60.55,31.96,30.17,20,0.0483,0.3592,0.0208,0.47
166,170_ML_3_161_150621_43,ML3,2.8,44.23,50.97,25.85,25.67,17.58,0.0365,0.314,0.0223,0.77
167,171_ML_3_162_150621_46,ML3,2.61,44.62,67.09,27.98,28.06,18.47,0.0386,0.3287,-0.0006,0.65
168,172_ML_3_163_150621_49,ML3,2.82,44.27,34.2,27.27,24.95,19.01,0.0412,0.2633,0.022,0.92
169,173_ML_3_164_150621_51,ML3,2.63,44.53,73.04,29.51,28.52,18.17,0.0304,0.2985,-0.0105,NA
170,174_NQP_NA_1_150615_86,NQP,3.19,42.47,NA,14.35,20.97,15.87,0.0338,0.2557,0.0196,2.71
171,175_NQP_NA_2_150615_92,NQP,2.64,43.15,21.18,20.01,22.82,17.1,0.0526,0.2448,-0.0088,1.92
172,176_NQP_NA_3_150615_89,NQP,3.09,43.29,NA,18.09,22.39,17.32,0.041,0.2571,0.0387,2.35
173,177_NQP_NA_4_150615_95,NQP,2.67,43.26,NA,18.9,20.41,17.97,0.0486,0.2319,0.0129,2.13
174,178_NQP_NA_5_150615_98,NQP,2.36,42.95,NA,18.4,20.2,16.6,0.0438,0.2142,0.0115,2.15
175,179_pwr_80_1848_150613_512,PWR,2.55,44.38,26.82,27.39,29.11,18.69,0.0532,0.2894,0.009,1.5
176,180_pwr_80_1850_150613_515,PWR,2.77,44.85,36.27,25.73,28.11,18.45,0.0503,0.3136,0.0226,1.42
177,181_pwr_80_1852_150613_506,PWR,2.37,44.86,35.58,26.23,27.21,18.42,0.0516,0.2848,0.014,1.06
178,182_pwr_80_1855_150613_579,PWR,2.67,44.48,38.27,28.99,27.32,18.77,0.0552,0.3054,0.0248,0.93
179,183_pwr_80_1862_150613_476,PWR,2.62,44.54,55.34,30.62,31.63,18.79,0.052,0.2921,0.0178,1.12
180,184_pwr_80_8002_150613_483,PWR,2.27,45.06,36.67,30.71,28.56,19.86,0.052,0.2732,0.0266,1.22
181,185_pwr_80_8003_150613_486,PWR,2.7,45.4,61.36,34.8,32.95,20.42,0.0554,0.3239,0.0068,0.68
182,186_pwr_80_8005_150613_489,PWR,2.34,45.09,35.81,30.07,29.51,19.28,0.0554,0.2816,0.0319,0.94
